,county,precinct,office,district,party,candidate,votes
3,St_Joseph,MISHAWAKA 0,UNITED STATES SENATOR,,WI,ANTONIO XAVIER ALVAREZ,0
0,St_Joseph,MISHAWAKA 0,ATTORNEY GENERAL,,DEM,DESTINY WELLS,253
0,St_Joseph,MISHAWAKA 0,ATTORNEY GENERAL,,REP,TODD ROKITA,245
1,St_Joseph,MISHAWAKA 0,COUNTY CORONER,,DEM,MICHAEL J. MCGANN,249
1,St_Joseph,MISHAWAKA 0,COUNTY CORONER,,REP,PATRICIA JORDAN,244
2,St_Joseph,MISHAWAKA 0,COUNTY RECORDER,,DEM,SHARON BANICKI,262
2,St_Joseph,MISHAWAKA 0,COUNTY RECORDER,,REP,CANDACE BROWN,235
3,St_Joseph,MISHAWAKA 0,COUNTY SURVEYOR,,DEM,ED FISHER,255
3,St_Joseph,MISHAWAKA 0,COUNTY SURVEYOR,,REP,DEREK D DIETER,244
4,St_Joseph,MISHAWAKA 0,COUNTY TREASURER,,REP,MICHAEL ROSE,240
4,St_Joseph,MISHAWAKA 0,COUNTY TREASURER,,DEM,MARY BETH WISNIEWSKI,252
5,St_Joseph,MISHAWAKA 0,GOVERNOR AND LIEUTENANT GOVERNOR,,WI,CHRISTOPHER RYAN STRIED,0
5,St_Joseph,MISHAWAKA 0,GOVERNOR AND LIEUTENANT GOVERNOR,,LIB,DONALD RAINWATER TONYA HUDSON,16
5,St_Joseph,MISHAWAKA 0,GOVERNOR AND LIEUTENANT GOVERNOR,,REP,MIKE BRAUN MICAH BECKWITH,235
5,St_Joseph,MISHAWAKA 0,GOVERNOR AND LIEUTENANT GOVERNOR,,DEM,JENNIFER G. MCCORMICK TERRY GOODIN,255
6,St_Joseph,MISHAWAKA 0,JUDGE OF PROBATE COURT,,DEM,JASON CICHOWICZ,231
6,St_Joseph,MISHAWAKA 0,JUDGE OF PROBATE COURT,,REP,LORIS PATRICK ZAPPIA,269
7,St_Joseph,MISHAWAKA 0,STATE REPRESENTATIVE,5,DEM,HEIDI BEIDINGER,257
7,St_Joseph,MISHAWAKA 0,STATE REPRESENTATIVE,5,REP,DALE DEVON,246
8,St_Joseph,MISHAWAKA 0,UNITED STATES REPRESENTATIVE,2,DEM,LORI A CAMP,244
8,St_Joseph,MISHAWAKA 0,UNITED STATES REPRESENTATIVE,2,REP,RUDY YAKYM,241
8,St_Joseph,MISHAWAKA 0,UNITED STATES REPRESENTATIVE,2,LIB,WILLIAM E. HENRY,11
8,St_Joseph,MISHAWAKA 0,UNITED STATES REPRESENTATIVE,2,WI,MICHAEL JOHN HUBBARD,0
0,St_Joseph,MISHAWAKA 0,COUNTY COMMISSIONER DISTRICT 3,3,LIB,AMANDA MITCHELL,15
0,St_Joseph,MISHAWAKA 0,COUNTY COMMISSIONER DISTRICT 3,3,DEM,JOSEPH G. CARBONE,232
0,St_Joseph,MISHAWAKA 0,COUNTY COMMISSIONER DISTRICT 3,3,REP,ANTHONY (TONY) HAZEN,250
1,St_Joseph,MISHAWAKA 0,MANIER - JUDICIAL RETENTION,,,YES,301
1,St_Joseph,MISHAWAKA 0,MANIER - JUDICIAL RETENTION,,,NO,98
2,St_Joseph,MISHAWAKA 0,"MISHAWAKA SCHOOL BOARD, AT LARGE",,NP,MELLISSA KAY JOHNSON,265
2,St_Joseph,MISHAWAKA 0,"MISHAWAKA SCHOOL BOARD, AT LARGE",,NP,ANGELA LAYMAN,248
3,St_Joseph,MISHAWAKA 0,RETAIN JUDGE RUDOLPH REGINALD PYLE III,,,YES,276
3,St_Joseph,MISHAWAKA 0,RETAIN JUDGE RUDOLPH REGINALD PYLE III,,,NO,117
4,St_Joseph,MISHAWAKA 0,RETAIN JUSTICE DEREK READ MOLTER,,,YES,276
4,St_Joseph,MISHAWAKA 0,RETAIN JUSTICE DEREK READ MOLTER,,,NO,122
5,St_Joseph,MISHAWAKA 0,RETAIN JUSTICE LORETTA H. RUSH,,,YES,290
5,St_Joseph,MISHAWAKA 0,RETAIN JUSTICE LORETTA H. RUSH,,,NO,117
6,St_Joseph,MISHAWAKA 0,RETAIN JUSTICE MARK S. MASSA,,,YES,279
6,St_Joseph,MISHAWAKA 0,RETAIN JUSTICE MARK S. MASSA,,,NO,123
7,St_Joseph,MISHAWAKA 0,SANFORD - JUDICIAL RETENTION,,,YES,293
7,St_Joseph,MISHAWAKA 0,SANFORD - JUDICIAL RETENTION,,,NO,107
8,St_Joseph,MISHAWAKA 0,STEELE - JUDICIAL RETENTION,,,YES,305
8,St_Joseph,MISHAWAKA 0,STEELE - JUDICIAL RETENTION,,,NO,94
9,St_Joseph,MISHAWAKA 0,TELLOYAN - JUDICIAL RETENTION,,,YES,290
9,St_Joseph,MISHAWAKA 0,TELLOYAN - JUDICIAL RETENTION,,,NO,108
0,St_Joseph,MISHAWAKA 0,WOODS - JUDICIAL RETENTION,,,YES,295
0,St_Joseph,MISHAWAKA 0,WOODS - JUDICIAL RETENTION,,,NO,110
0,St_Joseph,MISHAWAKA 0,Ballots Cast,,,,419
1,St_Joseph,MISHAWAKA 0,Registered Voters,,,,778
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,WI,CLAUDIA DE LA CRUZ KARINA GARCIA,0
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,WI,SUSAN MAUDE BUCHSER,0
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,WI,NALA BAOZUN SCOTT JOHNSON JR,0
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,WI,WILLIAM CODY NALBACH,0
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,WI,CORNEL WEST MELINA ABDULLAH,0
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,WI,SHONDRA IRVING,0
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,WI,DOUG JENKINS,0
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,WI,ANDRE RAMON MCNEIL SR.,0
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,WI,PETER SONSKI,0
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,WI,CAROL ASHER,0
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,WI,PAIJ BORING,0
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,WI,CHERUNDA LYNN FOX,0
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,WI,TOM HOEFLING ANDY PRIOR,0
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,WTP,ROBERT F. KENNEDY JR. NICOLE SHANAHAN,3
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,LIB,CHASE OLIVER MIKE TER MAAT,5
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,REP,DONALD J. TRUMP JD VANCE,217
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,DEM,KAMALA D. HARRIS TIM WALZ,191
1,St_Joseph,MISHAWAKA 0,PUBLIC QUESTION #1,,,YES,188
1,St_Joseph,MISHAWAKA 0,PUBLIC QUESTION #1,,,NO,176
2,St_Joseph,MISHAWAKA 0,Straight Party,,DEM,DEMOCRATIC,111
2,St_Joseph,MISHAWAKA 0,Straight Party,,REP,REPUBLICAN,141
2,St_Joseph,MISHAWAKA 0,Straight Party,,LIB,LIBERTARIAN,0
2,St_Joseph,MISHAWAKA 0,Straight Party,,WTP,WE THE PEOPLE,0
2,St_Joseph,MISHAWAKA 0,Straight Party,,RED,INDIANA REDEMPTION PARTY,2
3,St_Joseph,MISHAWAKA 0,UNITED STATES SENATOR,,WI,PHILLIP D. BEACHY (PHIL),0
3,St_Joseph,MISHAWAKA 0,UNITED STATES SENATOR,,DEM,VALERIE MCCRAY,182
3,St_Joseph,MISHAWAKA 0,UNITED STATES SENATOR,,REP,JIM BANKS,216
3,St_Joseph,MISHAWAKA 0,UNITED STATES SENATOR,,LIB,ANDREW HORNING,6
3,St_Joseph,MISHAWAKA 0,UNITED STATES SENATOR,,WI,ANTONIO XAVIER ALVAREZ,0
0,St_Joseph,MISHAWAKA 0,ATTORNEY GENERAL,,DEM,DESTINY WELLS,191
0,St_Joseph,MISHAWAKA 0,ATTORNEY GENERAL,,REP,TODD ROKITA,212
1,St_Joseph,MISHAWAKA 0,COUNTY CORONER,,DEM,MICHAEL J. MCGANN,182
1,St_Joseph,MISHAWAKA 0,COUNTY CORONER,,REP,PATRICIA JORDAN,213
2,St_Joseph,MISHAWAKA 0,COUNTY RECORDER,,DEM,SHARON BANICKI,188
2,St_Joseph,MISHAWAKA 0,COUNTY RECORDER,,REP,CANDACE BROWN,211
3,St_Joseph,MISHAWAKA 0,COUNTY TREASURER,,REP,MICHAEL ROSE,204
3,St_Joseph,MISHAWAKA 0,COUNTY TREASURER,,DEM,MARY BETH WISNIEWSKI,192
4,St_Joseph,MISHAWAKA 0,GOVERNOR AND LIEUTENANT GOVERNOR,,WI,CHRISTOPHER RYAN STRIED,0
4,St_Joseph,MISHAWAKA 0,GOVERNOR AND LIEUTENANT GOVERNOR,,LIB,DONALD RAINWATER TONYA HUDSON,23
4,St_Joseph,MISHAWAKA 0,GOVERNOR AND LIEUTENANT GOVERNOR,,REP,MIKE BRAUN MICAH BECKWITH,202
4,St_Joseph,MISHAWAKA 0,GOVERNOR AND LIEUTENANT GOVERNOR,,DEM,JENNIFER G. MCCORMICK TERRY GOODIN,183
5,St_Joseph,MISHAWAKA 0,JUDGE OF PROBATE COURT,,DEM,JASON CICHOWICZ,163
5,St_Joseph,MISHAWAKA 0,JUDGE OF PROBATE COURT,,REP,LORIS PATRICK ZAPPIA,237
6,St_Joseph,MISHAWAKA 0,STATE REPRESENTATIVE,5,DEM,HEIDI BEIDINGER,202
6,St_Joseph,MISHAWAKA 0,STATE REPRESENTATIVE,5,REP,DALE DEVON,206
7,St_Joseph,MISHAWAKA 0,STATE SENATOR,9,DEM,NO CANDIDATE FILED,0
7,St_Joseph,MISHAWAKA 0,STATE SENATOR,9,REP,RYAN MISHLER,255
8,St_Joseph,MISHAWAKA 0,UNITED STATES REPRESENTATIVE,2,DEM,LORI A CAMP,179
8,St_Joseph,MISHAWAKA 0,UNITED STATES REPRESENTATIVE,2,REP,RUDY YAKYM,211
8,St_Joseph,MISHAWAKA 0,UNITED STATES REPRESENTATIVE,2,LIB,WILLIAM E. HENRY,9
8,St_Joseph,MISHAWAKA 0,UNITED STATES REPRESENTATIVE,2,WI,MICHAEL JOHN HUBBARD,1
0,St_Joseph,MISHAWAKA 0,COUNTY COMMISSIONER DISTRICT 3,3,LIB,AMANDA MITCHELL,25
0,St_Joseph,MISHAWAKA 0,COUNTY COMMISSIONER DISTRICT 3,3,DEM,JOSEPH G. CARBONE,154
0,St_Joseph,MISHAWAKA 0,COUNTY COMMISSIONER DISTRICT 3,3,REP,ANTHONY (TONY) HAZEN,219
1,St_Joseph,MISHAWAKA 0,COUNTY SURVEYOR,,DEM,ED FISHER,178
1,St_Joseph,MISHAWAKA 0,COUNTY SURVEYOR,,REP,DEREK D DIETER,219
2,St_Joseph,MISHAWAKA 0,MANIER - JUDICIAL RETENTION,,,YES,246
2,St_Joseph,MISHAWAKA 0,MANIER - JUDICIAL RETENTION,,,NO,82
3,St_Joseph,MISHAWAKA 0,"MISHAWAKA SCHOOL BOARD, AT LARGE",,NP,MELLISSA KAY JOHNSON,229
3,St_Joseph,MISHAWAKA 0,"MISHAWAKA SCHOOL BOARD, AT LARGE",,NP,ANGELA LAYMAN,204
4,St_Joseph,MISHAWAKA 0,RETAIN JUDGE RUDOLPH REGINALD PYLE III,,,YES,237
4,St_Joseph,MISHAWAKA 0,RETAIN JUDGE RUDOLPH REGINALD PYLE III,,,NO,92
5,St_Joseph,MISHAWAKA 0,RETAIN JUSTICE DEREK READ MOLTER,,,YES,233
5,St_Joseph,MISHAWAKA 0,RETAIN JUSTICE DEREK READ MOLTER,,,NO,100
6,St_Joseph,MISHAWAKA 0,RETAIN JUSTICE LORETTA H. RUSH,,,YES,246
6,St_Joseph,MISHAWAKA 0,RETAIN JUSTICE LORETTA H. RUSH,,,NO,85
7,St_Joseph,MISHAWAKA 0,RETAIN JUSTICE MARK S. MASSA,,,YES,228
7,St_Joseph,MISHAWAKA 0,RETAIN JUSTICE MARK S. MASSA,,,NO,102
8,St_Joseph,MISHAWAKA 0,SANFORD - JUDICIAL RETENTION,,,YES,239
8,St_Joseph,MISHAWAKA 0,SANFORD - JUDICIAL RETENTION,,,NO,89
9,St_Joseph,MISHAWAKA 0,STEELE - JUDICIAL RETENTION,,,YES,258
9,St_Joseph,MISHAWAKA 0,STEELE - JUDICIAL RETENTION,,,NO,70
0,St_Joseph,MISHAWAKA 0,TELLOYAN - JUDICIAL RETENTION,,,YES,246
0,St_Joseph,MISHAWAKA 0,TELLOYAN - JUDICIAL RETENTION,,,NO,84
1,St_Joseph,MISHAWAKA 0,WOODS - JUDICIAL RETENTION,,,YES,258
1,St_Joseph,MISHAWAKA 0,WOODS - JUDICIAL RETENTION,,,NO,83
0,St_Joseph,MISHAWAKA 0,Ballots Cast,,,,551
1,St_Joseph,MISHAWAKA 0,Registered Voters,,,,1028
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,WI,CLAUDIA DE LA CRUZ KARINA GARCIA,0
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,WI,SUSAN MAUDE BUCHSER,0
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,WI,NALA BAOZUN SCOTT JOHNSON JR,0
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,WI,WILLIAM CODY NALBACH,0
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,WI,CORNEL WEST MELINA ABDULLAH,0
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,WI,SHONDRA IRVING,0
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,WI,DOUG JENKINS,0
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,WI,ANDRE RAMON MCNEIL SR.,0
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,WI,PETER SONSKI,0
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,WI,CAROL ASHER,0
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,WI,PAIJ BORING,0
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,WI,CHERUNDA LYNN FOX,0
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,WI,TOM HOEFLING ANDY PRIOR,0
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,WTP,ROBERT F. KENNEDY JR. NICOLE SHANAHAN,4
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,LIB,CHASE OLIVER MIKE TER MAAT,6
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,REP,DONALD J. TRUMP JD VANCE,237
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,DEM,KAMALA D. HARRIS TIM WALZ,301
1,St_Joseph,MISHAWAKA 0,PUBLIC QUESTION #1,,,YES,229
1,St_Joseph,MISHAWAKA 0,PUBLIC QUESTION #1,,,NO,230
2,St_Joseph,MISHAWAKA 0,Straight Party,,DEM,DEMOCRATIC,193
2,St_Joseph,MISHAWAKA 0,Straight Party,,REP,REPUBLICAN,174
2,St_Joseph,MISHAWAKA 0,Straight Party,,LIB,LIBERTARIAN,2
2,St_Joseph,MISHAWAKA 0,Straight Party,,WTP,WE THE PEOPLE,0
2,St_Joseph,MISHAWAKA 0,Straight Party,,RED,INDIANA REDEMPTION PARTY,2
3,St_Joseph,MISHAWAKA 0,UNITED STATES SENATOR,,WI,PHILLIP D. BEACHY (PHIL),0
3,St_Joseph,MISHAWAKA 0,UNITED STATES SENATOR,,DEM,VALERIE MCCRAY,283
3,St_Joseph,MISHAWAKA 0,UNITED STATES SENATOR,,REP,JIM BANKS,242
3,St_Joseph,MISHAWAKA 0,UNITED STATES SENATOR,,LIB,ANDREW HORNING,10
3,St_Joseph,MISHAWAKA 0,UNITED STATES SENATOR,,WI,ANTONIO XAVIER ALVAREZ,0
0,St_Joseph,MISHAWAKA 0,ATTORNEY GENERAL,,DEM,DESTINY WELLS,286
0,St_Joseph,MISHAWAKA 0,ATTORNEY GENERAL,,REP,TODD ROKITA,240
1,St_Joseph,MISHAWAKA 0,COUNTY CORONER,,DEM,MICHAEL J. MCGANN,277
1,St_Joseph,MISHAWAKA 0,COUNTY CORONER,,REP,PATRICIA JORDAN,245
2,St_Joseph,MISHAWAKA 0,COUNTY RECORDER,,DEM,SHARON BANICKI,285
2,St_Joseph,MISHAWAKA 0,COUNTY RECORDER,,REP,CANDACE BROWN,240
3,St_Joseph,MISHAWAKA 0,COUNTY SURVEYOR,,DEM,ED FISHER,280
3,St_Joseph,MISHAWAKA 0,COUNTY SURVEYOR,,REP,DEREK D DIETER,247
4,St_Joseph,MISHAWAKA 0,COUNTY TREASURER,,REP,MICHAEL ROSE,233
4,St_Joseph,MISHAWAKA 0,COUNTY TREASURER,,DEM,MARY BETH WISNIEWSKI,292
5,St_Joseph,MISHAWAKA 0,GOVERNOR AND LIEUTENANT GOVERNOR,,WI,CHRISTOPHER RYAN STRIED,0
5,St_Joseph,MISHAWAKA 0,GOVERNOR AND LIEUTENANT GOVERNOR,,LIB,DONALD RAINWATER TONYA HUDSON,16
5,St_Joseph,MISHAWAKA 0,GOVERNOR AND LIEUTENANT GOVERNOR,,REP,MIKE BRAUN MICAH BECKWITH,224
5,St_Joseph,MISHAWAKA 0,GOVERNOR AND LIEUTENANT GOVERNOR,,DEM,JENNIFER G. MCCORMICK TERRY GOODIN,298
6,St_Joseph,MISHAWAKA 0,JUDGE OF PROBATE COURT,,DEM,JASON CICHOWICZ,268
6,St_Joseph,MISHAWAKA 0,JUDGE OF PROBATE COURT,,REP,LORIS PATRICK ZAPPIA,261
7,St_Joseph,MISHAWAKA 0,STATE REPRESENTATIVE,5,DEM,HEIDI BEIDINGER,301
7,St_Joseph,MISHAWAKA 0,STATE REPRESENTATIVE,5,REP,DALE DEVON,236
8,St_Joseph,MISHAWAKA 0,UNITED STATES REPRESENTATIVE,2,DEM,LORI A CAMP,279
8,St_Joseph,MISHAWAKA 0,UNITED STATES REPRESENTATIVE,2,REP,RUDY YAKYM,237
8,St_Joseph,MISHAWAKA 0,UNITED STATES REPRESENTATIVE,2,LIB,WILLIAM E. HENRY,10
8,St_Joseph,MISHAWAKA 0,UNITED STATES REPRESENTATIVE,2,WI,MICHAEL JOHN HUBBARD,0
0,St_Joseph,MISHAWAKA 0,COUNTY COMMISSIONER DISTRICT 3,3,LIB,AMANDA MITCHELL,29
0,St_Joseph,MISHAWAKA 0,COUNTY COMMISSIONER DISTRICT 3,3,DEM,JOSEPH G. CARBONE,260
0,St_Joseph,MISHAWAKA 0,COUNTY COMMISSIONER DISTRICT 3,3,REP,ANTHONY (TONY) HAZEN,233
1,St_Joseph,MISHAWAKA 0,COUNTY COUNCIL DISTRICT I,,DEM,TAMI SPRINGER,285
1,St_Joseph,MISHAWAKA 0,COUNTY COUNCIL DISTRICT I,,REP,ANDY RUTTEN,237
2,St_Joseph,MISHAWAKA 0,MANIER - JUDICIAL RETENTION,,,YES,318
2,St_Joseph,MISHAWAKA 0,MANIER - JUDICIAL RETENTION,,,NO,86
3,St_Joseph,MISHAWAKA 0,"MISHAWAKA SCHOOL BOARD, AT LARGE",,NP,MELLISSA KAY JOHNSON,58
3,St_Joseph,MISHAWAKA 0,"MISHAWAKA SCHOOL BOARD, AT LARGE",,NP,ANGELA LAYMAN,49
4,St_Joseph,MISHAWAKA 0,"PENN-HARRIS-MADISON SCHOOL BOARD, HARRIS",,NP,GARY FOX,150
4,St_Joseph,MISHAWAKA 0,"PENN-HARRIS-MADISON SCHOOL BOARD, HARRIS",,NP,ART KLINGER,117
5,St_Joseph,MISHAWAKA 0,"PENN-HARRIS-MADISON SCHOOL BOARD, PENN",,NP,KATIE INABNIT BELL,161
5,St_Joseph,MISHAWAKA 0,"PENN-HARRIS-MADISON SCHOOL BOARD, PENN",,NP,DOUG CHAFFEE,72
5,St_Joseph,MISHAWAKA 0,"PENN-HARRIS-MADISON SCHOOL BOARD, PENN",,NP,JIM GARRETT,91
5,St_Joseph,MISHAWAKA 0,"PENN-HARRIS-MADISON SCHOOL BOARD, PENN",,NP,RYAN MCCULLOUGH,107
6,St_Joseph,MISHAWAKA 0,RETAIN JUDGE RUDOLPH REGINALD PYLE III,,,YES,296
6,St_Joseph,MISHAWAKA 0,RETAIN JUDGE RUDOLPH REGINALD PYLE III,,,NO,100
7,St_Joseph,MISHAWAKA 0,RETAIN JUSTICE DEREK READ MOLTER,,,YES,301
7,St_Joseph,MISHAWAKA 0,RETAIN JUSTICE DEREK READ MOLTER,,,NO,99
8,St_Joseph,MISHAWAKA 0,RETAIN JUSTICE LORETTA H. RUSH,,,YES,317
8,St_Joseph,MISHAWAKA 0,RETAIN JUSTICE LORETTA H. RUSH,,,NO,94
9,St_Joseph,MISHAWAKA 0,RETAIN JUSTICE MARK S. MASSA,,,YES,295
9,St_Joseph,MISHAWAKA 0,RETAIN JUSTICE MARK S. MASSA,,,NO,107
0,St_Joseph,MISHAWAKA 0,SANFORD - JUDICIAL RETENTION,,,YES,309
0,St_Joseph,MISHAWAKA 0,SANFORD - JUDICIAL RETENTION,,,NO,97
1,St_Joseph,MISHAWAKA 0,STEELE - JUDICIAL RETENTION,,,YES,333
1,St_Joseph,MISHAWAKA 0,STEELE - JUDICIAL RETENTION,,,NO,71
2,St_Joseph,MISHAWAKA 0,TELLOYAN - JUDICIAL RETENTION,,,YES,303
2,St_Joseph,MISHAWAKA 0,TELLOYAN - JUDICIAL RETENTION,,,NO,96
3,St_Joseph,MISHAWAKA 0,WOODS - JUDICIAL RETENTION,,,YES,322
3,St_Joseph,MISHAWAKA 0,WOODS - JUDICIAL RETENTION,,,NO,83
0,St_Joseph,MISHAWAKA 0,Ballots Cast,,,,624
1,St_Joseph,MISHAWAKA 0,Registered Voters,,,,1185
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,WI,CLAUDIA DE LA CRUZ KARINA GARCIA,0
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,WI,SUSAN MAUDE BUCHSER,0
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,WI,NALA BAOZUN SCOTT JOHNSON JR,0
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,WI,WILLIAM CODY NALBACH,0
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,WI,CORNEL WEST MELINA ABDULLAH,0
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,WI,SHONDRA IRVING,0
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,WI,DOUG JENKINS,0
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,WI,ANDRE RAMON MCNEIL SR.,0
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,WI,PETER SONSKI,0
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,WI,CAROL ASHER,0
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,WI,PAIJ BORING,0
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,WI,CHERUNDA LYNN FOX,0
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,WI,TOM HOEFLING ANDY PRIOR,0
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,WTP,ROBERT F. KENNEDY JR. NICOLE SHANAHAN,7
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,LIB,CHASE OLIVER MIKE TER MAAT,3
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,REP,DONALD J. TRUMP JD VANCE,240
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,DEM,KAMALA D. HARRIS TIM WALZ,368
1,St_Joseph,MISHAWAKA 0,PUBLIC QUESTION #1,,,YES,251
1,St_Joseph,MISHAWAKA 0,PUBLIC QUESTION #1,,,NO,278
2,St_Joseph,MISHAWAKA 0,Straight Party,,DEM,DEMOCRATIC,255
2,St_Joseph,MISHAWAKA 0,Straight Party,,REP,REPUBLICAN,175
2,St_Joseph,MISHAWAKA 0,Straight Party,,LIB,LIBERTARIAN,3
2,St_Joseph,MISHAWAKA 0,Straight Party,,WTP,WE THE PEOPLE,6
2,St_Joseph,MISHAWAKA 0,Straight Party,,RED,INDIANA REDEMPTION PARTY,0
3,St_Joseph,MISHAWAKA 0,UNITED STATES SENATOR,,WI,PHILLIP D. BEACHY (PHIL),0
3,St_Joseph,MISHAWAKA 0,UNITED STATES SENATOR,,DEM,VALERIE MCCRAY,352
3,St_Joseph,MISHAWAKA 0,UNITED STATES SENATOR,,REP,JIM BANKS,239
3,St_Joseph,MISHAWAKA 0,UNITED STATES SENATOR,,LIB,ANDREW HORNING,14
3,St_Joseph,MISHAWAKA 0,UNITED STATES SENATOR,,WI,ANTONIO XAVIER ALVAREZ,0
0,St_Joseph,MISHAWAKA 0,ATTORNEY GENERAL,,DEM,DESTINY WELLS,352
0,St_Joseph,MISHAWAKA 0,ATTORNEY GENERAL,,REP,TODD ROKITA,250
1,St_Joseph,MISHAWAKA 0,COUNTY CORONER,,DEM,MICHAEL J. MCGANN,350
1,St_Joseph,MISHAWAKA 0,COUNTY CORONER,,REP,PATRICIA JORDAN,249
2,St_Joseph,MISHAWAKA 0,COUNTY RECORDER,,DEM,SHARON BANICKI,358
2,St_Joseph,MISHAWAKA 0,COUNTY RECORDER,,REP,CANDACE BROWN,241
3,St_Joseph,MISHAWAKA 0,COUNTY SURVEYOR,,DEM,ED FISHER,331
3,St_Joseph,MISHAWAKA 0,COUNTY SURVEYOR,,REP,DEREK D DIETER,268
4,St_Joseph,MISHAWAKA 0,COUNTY TREASURER,,REP,MICHAEL ROSE,233
4,St_Joseph,MISHAWAKA 0,COUNTY TREASURER,,DEM,MARY BETH WISNIEWSKI,363
5,St_Joseph,MISHAWAKA 0,GOVERNOR AND LIEUTENANT GOVERNOR,,WI,CHRISTOPHER RYAN STRIED,0
5,St_Joseph,MISHAWAKA 0,GOVERNOR AND LIEUTENANT GOVERNOR,,LIB,DONALD RAINWATER TONYA HUDSON,20
5,St_Joseph,MISHAWAKA 0,GOVERNOR AND LIEUTENANT GOVERNOR,,REP,MIKE BRAUN MICAH BECKWITH,233
5,St_Joseph,MISHAWAKA 0,GOVERNOR AND LIEUTENANT GOVERNOR,,DEM,JENNIFER G. MCCORMICK TERRY GOODIN,354
6,St_Joseph,MISHAWAKA 0,JUDGE OF PROBATE COURT,,DEM,JASON CICHOWICZ,329
6,St_Joseph,MISHAWAKA 0,JUDGE OF PROBATE COURT,,REP,LORIS PATRICK ZAPPIA,272
7,St_Joseph,MISHAWAKA 0,STATE REPRESENTATIVE,5,DEM,HEIDI BEIDINGER,358
